,Id,Nummer,Titels,Initialen,Tussenvoegsel,Achternaam,Voornamen,Roepnaam,Geslacht,Functie,Geboortedatum,Geboorteplaats,Geboorteland,Overlijdensdatum,Overlijdensplaats,Woonplaats,Land,ContentType,ContentLength,GewijzigdOp,ApiGewijzigdOp,Verwijderd
130,f27ee24f-8749-4349-89d8-c7db356184b8,1275.0,,HL,,Drucker,,,man,Oud Kamerlid,1857-08-11T00:00:00+02:00,-,,1917-09-05,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:36:19.7574364Z,False
131,0a8b988b-a25d-4d93-bbed-c7dbaa37e8f5,,,,,,,,,,,,,,,,,,,,,
132,0c3a12cf-47a1-424c-b590-c7e9ab2c306e,115.0,,AAME,van,Erp,,,man,Oud Kamerlid,1933-10-12T00:00:00+02:00,Best,,1997-06-02,Best,Best,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:30:34.2842038Z,False
133,d3bb15f4-c9c5-419f-af20-c7f8080e05c8,1338.0,,S,ten,Cate Blaupot,,,man,Oud Kamerlid,1808-01-29T00:00:00+01:00,-,,1884-09-09,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:36:19.8043067Z,False
134,739de902-0206-4206-8f48-c8066489a527,522.0,drs.,A.T.B.,,Bijleveld-Schouten,Anna Theodora Bernardina,Ank,vrouw,Oud Kamerlid,1962-03-17T00:00:00+01:00,Ijsselmuiden,,,,Goor,NL,image/jpeg,22355.0,2020-11-20T13:29:40+01:00,2020-11-20T12:32:16.332592Z,False
135,7cebabdf-9c54-484f-a3e0-c82750c8cc22,250.0,drs.,MWJM,,Peijnenburg,,,man,Oud Kamerlid,1928-01-29T00:00:00+01:00,Geldrop,,1979-04-01,Rotterdam,'s-Gravenhage,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:31:29.9100263Z,False
136,b5f9e587-c4ab-4091-b307-c82777056c4b,,,,,,,,,,,,,,,,,,,,,
137,6800a150-7e77-407f-b451-c82ef176ebd5,1339.0,,WA,de,Caters,,,man,Oud Kamerlid,1773-11-30T00:00:00+01:00,-,,1859-02-09,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:36:19.7574364Z,False
138,358b6dc5-fdcb-4aea-a186-c83706823a42,366.0,mr.,MHJ,,Soutendijk-van Appeldoorn,,,vrouw,Oud Kamerlid,1948-09-04T00:00:00+02:00,Utrecht,,,,Nuenen,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:31:40.1289306Z,False
139,aa612b6e-b61d-43a8-8775-c83839a9f6ef,2710.0,drs.,J.J.,van,Klaveren,Joram Jaron,Joram,man,Oud Kamerlid,1979-01-23T00:00:00+01:00,Amsterdam,Nederland,,,Almere,NL,image/jpeg,21835.0,2020-11-20T13:29:40+01:00,2020-11-20T12:43:15.917174Z,False
140,c4717a21-ca81-4c68-9787-c8690f0f85b8,779.0,,NG,van 't,Riet,Nicky,Nicky,vrouw,Oud Kamerlid,1948-07-23T00:00:00+02:00,Hilversum,,,,Utrecht,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:33:27.1305159Z,False
141,b2e57104-c1b0-4063-9967-c86d71870e81,180.0,drs.,LMLHA,,Hermans,,,man,Oud Kamerlid,1951-04-23T00:00:00+02:00,Heerlen,,,,Beetsterzwaag,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:30:34.5498313Z,False
142,6c2ee55a-fa05-4a41-b522-c878c6a61ce8,2629.0,,A.A.,de,Vries,Albertus Anthonie,Albert,man,Oud Kamerlid,1955-07-10T00:00:00+02:00,Middelburg,Nederland,,,Middelburg,NL,image/jpeg,23226.0,2020-11-20T13:29:40+01:00,2020-11-20T12:42:20.4167101Z,False
143,f22145bc-f1e9-4507-8fee-c89015de0e46,131.0,prof.mr.,CPM,,Romme,,,man,Oud Kamerlid,1896-12-21T00:00:00+01:00,Oirschot,,1980-10-16,Oisterwijk,Oisterwijk,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:30:34.2685777Z,False
144,55faded2-7859-411c-aa5d-c890d23088ed,121.0,,ABM,,Frinking,,,man,Oud Kamerlid,1931-02-01T00:00:00+01:00,Groningen,,,,Rijswijk,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:30:34.1748259Z,False
145,f6bad783-95e9-4217-9a14-c8aca057ce30,,,,,,,,,,,,,,,,,,,,,
146,ef4c2464-3950-4f5d-a9b9-c8b48ff7164f,2070.0,,NSC,,Tendeloo,,,vrouw,Oud Kamerlid,1897-09-03T00:00:00+02:00,-,,1956-10-18,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:40:18.243807Z,False
147,ee07ddf0-ac0e-4e58-8839-c8d87bcdbc72,1405.0,,JF,,Gradon,,,man,Oud Kamerlid,1758-09-23T00:00:00+02:00,-,,1832-01-15,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:36:19.8824323Z,False
148,f77c2612-e8db-4ecf-9f9d-c8e2ce7660bc,2112.0,,PHJI,,Veranneman,,,man,Oud Kamerlid,1787-12-03T00:00:00+01:00,-,,1844-03-09,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:40:18.3063096Z,False
149,21a91997-ac68-48c4-af82-c8e6bdf53748,1574.0,,JF,,Jansen,,,man,Oud Kamerlid,1824-06-04T00:00:00+02:00,-,,1901-11-09,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:37:20.3985685Z,False
150,8ce07a9a-f088-4576-a64d-c8ee267dc164,2522.0,,H.,,Franken,,,man,Oud Kamerlid,1936-09-17T00:00:00+02:00,Haarlem,,,,Zoeterwoude,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:42:15.3229219Z,False
151,95ff11d3-6e72-46fa-aef0-c8f8b7df2ad9,1833.0,,CAEA,,Panhuys van,,,man,Oud Kamerlid,1811-09-17T00:00:00+02:00,-,,1895-07-04,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:38:21.0397012Z,False
